model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Chất liệu thân vỏ,Tiện ích,Cao,Ngang,Sâu,Khối lượng máy,Công suất đầu ra,Độ ồn,Số lượng,Dòng sản phẩm,Loại sản phẩm,Bảng điều khiển,Công nghệ,Công nghệ sấy,Chương trình,Dài ống cấp nước,Dài ống xả nước,Tiêu thụ nước,Chất liệu cửa,Khay chén,giá gốc,giá khuyến mãi,khuyến mãi quà
179216,3053859000079,284877,39,347,Hafele,Thổ Nhĩ Kỳ,Thép không gỉ,"Khoá trẻ em | Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Công nghệ ion tự nhiên | Động cơ Inverter BLDC | Rửa bán tải Half load",87,59,59,40,1750W,44 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2019,Máy rửa chén độc lập,Màn hình hiển thị | Tiếng Anh | Cảm ứng,Rửa bằng nước nóng,Sấy tăng cường,Rửa nhanh 50 phút | Rửa kép | Rửa tiết kiệm ECO | Rửa diệt khuẩn | Rửa nhanh 30 phút | Rửa thông minh 30°C - 50°C | Rửa thông minh 50°C - 70°C | Rửa hơi nước | Rửa nhanh 14 phút,,,~ 9 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay trên,22670182,22670182,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179206,3053859000070,284523,39,315,Electrolux,Ba Lan,Kim loại sơn tĩnh điện,Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Tự động hé cửa ở cuối chương trình | Beam-on-Floor - Chiếu trạng thái hoạt động xuống sàn | Chế độ rửa 1/2 tiết kiệm,88,60,55,40,1900W,44 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2020,Máy rửa chén âm tủ,Màn hình hiển thị | Tiếng Anh | Cảm ứng,,,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa tiêu chuẩn (tiết kiệm) | Xả trước | Rửa nhanh 30 phút | Rửa tự động,,,~ 9.9 lít/lần rửa,Thép không gỉ,,,,
179019,3053859000056,259991,39,133,Bosch,Ba Lan,Thép sơn tĩnh điện,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Chức năng vệ sinh máy Machine care | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng),84,45,60,42,2400W,48 dB,,2021,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Rửa bằng nước nóng,,,,,~ 8.5 lít/lần rửa,Thép sơn tĩnh điện,,,,
179018,3053859000055,259989,39,133,Bosch,Đức,Thép,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Chức năng vệ sinh máy Machine care | Vùng rửa sâu | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng),81,59,55,46,2400W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2021,,Màn hình hiển thị | Tiếng Anh | Cảm ứng,Rửa bằng nước nóng,,,,,~ 9.5 lít/lần rửa,Thép,,,,
179017,3053859000054,259987,39,133,Bosch,Đức,Thép,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Chức năng vệ sinh máy Machine care | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng) | Chế độ rửa 1/2 tiết kiệm,81,59,55,36,2400W,44 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2021,,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Rửa bằng nước nóng,,,,,~ 9.5 lít/lần rửa,Thép,,,,
179016,3053859000053,259986,39,133,Bosch,Đức,Thép,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Chức năng vệ sinh máy Machine care | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng) | Chế độ rửa 1/2 tiết kiệm,81,59,55,35,2400W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2021,,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Rửa bằng nước nóng,,,,,~ 9.5 lít/lần rửa,Thép,,,,
179015,3053859000052,259985,39,133,Bosch,Đức,Thép,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Tự động hé cửa ở cuối chương trình | Chức năng vệ sinh máy Machine care | Vùng rửa sâu | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng),81,59,57,46,2400W,42 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2021,Máy rửa chén bán âm,Màn hình hiển thị | Tiếng Anh | Cảm ứng,Rửa bằng nước nóng,,,,,~ 9.5 lít/lần rửa,Thép không gỉ,,,,
179014,3053859000051,259983,39,133,Bosch,Đức,Thép,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Chức năng vệ sinh máy Machine care | Chức năng ghi nhớ chương trình rửa Favourite | Chế độ rửa 1/2 tiết kiệm,81,59,57,35,2400W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2021,Máy rửa chén bán âm,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Rửa bằng nước nóng,,,,,~ 9.5 lít/lần rửa,Thép,,,,
179008,3053859000045,259976,39,133,Bosch,Đức,Thép sơn tĩnh điện,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Remote start | Chức năng ghi nhớ chương trình rửa Favourite | Chức năng hẹn giờ  (từ 1 - 24 tiếng),84,60,60,52,2400W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2021,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Rửa bằng nước nóng,,Rửa chuyên sâu | Rửa 60 phút | Rửa tiêu chuẩn (tiết kiệm) | Rửa tự động | Vệ sinh máy Machine care | Rửa nhanh,,,~ 9.5 lít/lần rửa,Thép không gỉ,,,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178970,3053859000043,249761,39,186,Midea,Trung Quốc,Thép,"Chống rò rỉ nguồn điện | Chức năng khử trùng diệt khuẩn nhiệt độ 125 độ C | Lưới chống côn trùng, ngăn côn trùng xâm nhập | Thiết kế 2 tầng sấy chuyên dụng",79,41,33,13,750W,Hãng không công bố,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2020,Máy sấy chén,Nút nhấn | Màn hình hiển thị | Biểu tượng chương trình hoạt động,Không có,Sấy khô ở nhiệt độ 75 độ C,Không có,Không,Không,Không có,Kính cường lực,Khay dưới | Khay trên,,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180594,1753859000023,360555,39,346,Haier,Trung Quốc,Sơn tĩnh điện,Khoá trẻ em | Tạm dừng | Bảo quản giữ khô & ấm trong 240 giờ | Điều khiển từ xa thông qua ứng dụng Haismart | Chương trình rửa an toàn cho ly thủy tinh 45°C | Tự động hé cửa ở cuối chương trình | Hẹn giờ bắt đầu rửa | Chức năng rửa chuyên sâu | Màn hình LED hiển thị dễ quan sát | Rửa kép | Động cơ Inverter BLDC | Khử khuẩn bằng tia UV | Rửa bán tải Half load,79,59,59,43,1720W - 2050W,47 dB,6 - 7 bữa ăn Việt (15 bộ Châu Âu),2026,Máy rửa chén độc lập,Cảm ứng,5D Dual Side Wash (Rửa hai mặt) | Rửa vi hơi nóng 80°C,Sấy hé tự động | Extra Dry - Sấy tăng cường,Rửa thường | Rửa mạnh | Rửa nhanh 25 phút | Rửa trực tuyến | Rửa AI | Rửa rau củ | Rửa khay nướng | Tự làm sạch | Rửa hơi nước | Khử trùng,160,160,~ 11.6 lít/lần rửa,Kính đen,Khung xương khay dưới có thể gập xuống | Khung xương khay trên có thể gập xuống | Khay để muỗng đũa,21990000,17590000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Tặng thêm 2 năm bảo hành chính hãng (Xem chi tiết tại đây) | 1 đổi 1 trong 365 ngày (lỗi do NSX). (Lỗi do NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180574,1753859000022,359940,39,366,Junger,Thái Lan,Thép không gỉ được sơn tĩnh điện,Đèn báo hết muối | Rửa tăng cường | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Chức năng tự làm mềm nước | Chống tràn và rò rỉ | Cảnh báo lỗi nguồn cấp nước | Màn hình LED hiển thị dễ quan sát | Chức năng bảo vệ quá tải - quá áp | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load | Khóa bảng điều khiển,84,44,59,40,1760W - 2100W,44 dB,3 - 4 bữa ăn Việt (10 bộ Châu Âu),2022,Máy rửa chén độc lập,Nút nhấn,Rửa bằng nước nóng,Extra Dry - Sấy tăng cường | Sấy nóng Residual Heating Dry,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa ngâm | Rửa tiết kiệm ECO | Rửa hàng ngày | Rửa 90 phút | Rửa tự động | Rửa nhanh,147,143,~ 8 lít/lần rửa,"Mặt trong inox 304, mặt ngoài Inox 430",Khung xương khay dưới có thể gập xuống | Khay trên có thể thay đổi chiều cao | Khay để muỗng đũa,17990000,17990000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180104,1753859000014,339191,39,315,Electrolux,Thổ Nhĩ Kỳ,Kim loại sơn tĩnh điện,"Khoá an toàn trẻ em | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Hẹn giờ bắt đầu rửa | Extra Hygiene - Khử trùng chén dĩa | Tự ngắt khi áp lực nước đầu vào yếu | Tự động căn chỉnh thời gian/lượng nước | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load",85,59,61,46,1800W - 1900W,49 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2025,Máy rửa chén độc lập,Núm xoay | Nút nhấn,Rửa bằng nước nóng,Sấy nhiệt,Rửa diệt khuẩn 70°C | Rửa chuyên sâu | Rửa tiết kiệm ECO | Rửa nhanh 65°C | Rửa nhanh 30 phút,152,188,10 ~ 12 lít/lần rửa,Thép không gỉ,"Khay trên có thể thay đổi chiều cao | Khay dưới | Giỏ đựng dao, muỗng, đũa",14290000,12290000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180051,1753859000013,337771,39,11,Toshiba,Trung Quốc,Thép không gỉ,"Gõ để mở cửa | Công nghệ AI phân tích độ bẩn nước | Bảo quản giữ khô & ấm trong 168 giờ (7 ngày) | VoltGuard - hệ thống chống rò rỉ điện | Điều khiển từ xa thông qua ứng dụng TSmartLife | Động cơ Origin Inverter | Đèn LED báo hết muối, hết nước làm bóng | Hẹn giờ bắt đầu rửa | Đèn LED trong khoang máy | Khử mùi bằng gió tươi đối lưu | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Diệt khuẩn bằng nước nóng | Tự động căn chỉnh thời gian/lượng nước | Tăng tốc độ rửa | Khử khuẩn bằng tia UV | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load",84,59,60,48,1760W - 2100W,42 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng ẩn,Công nghệ rửa xoáy kép CrossWash 720° | Rửa bằng nước nóng,Sấy hé tự động | HyperDry - Sấy khí nóng (khô hiệu quả),Vệ sinh máy | Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa ngâm | Rửa hải sản | Rửa tự động AI | Rửa vệ sinh | Rửa tiết kiệm ECO | Rửa trái cây | Rửa siêu tĩnh | Rửa 90 phút | Rửa nhanh,155,134,8 ~ 15 lít/lần rửa,Thép không gỉ,Khay dưới | Khay dao kéo có thể thay đổi chiều cao | Khay trên,29990000,21190000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | 1 đổi 1 trong vòng 180 ngày - Hoàn tiền trong 30 ngày (Lỗi do NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180050,1753859000012,337770,39,11,Toshiba,Trung Quốc,Thép không gỉ,"Công nghệ AI phân tích độ bẩn nước | Bảo quản giữ khô & ấm trong 168 giờ (7 ngày) | VoltGuard - hệ thống chống rò rỉ điện | Điều khiển từ xa thông qua ứng dụng TSmartLife | Động cơ Origin Inverter | Đèn LED báo hết muối, hết nước làm bóng | Hẹn giờ bắt đầu rửa | Đèn LED trong khoang máy | Khử mùi bằng gió tươi đối lưu | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Diệt khuẩn bằng nước nóng | Tự động căn chỉnh thời gian/lượng nước | Màn hình LED hiển thị dễ quan sát | Tăng tốc độ rửa | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load",84,59,60,48,1760W - 2100W,43 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng ẩn,Công nghệ rửa xoáy kép CrossWash 720° | Rửa bằng nước nóng,HyperDry - Sấy khí nóng (khô hiệu quả),Rửa chuyên sâu | Ngâm (tải xuống từ ứng dụng TSmartLife) | Rửa hải sản (tải xuống từ ứng dụng TSmartLife) | Rửa nhanh (tải xuống từ ứng dụng TSmartLife) | Rửa vệ sinh (tải xuống từ ứng dụng TSmartLife) | Rửa thủy tinh (tải xuống từ ứng dụng TSmartLife) | Rửa trái cây (tải xuống từ ứng dụng TSmartLife) | Rửa tự động AI | Rửa tiết kiệm ECO | Tự làm sạch | Rửa 90 phút,164,136,8 ~ 15 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay trên,25990000,16690000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | 1 đổi 1 trong vòng 180 ngày - Hoàn tiền trong 30 ngày (Lỗi do NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180049,1753859000011,337769,39,11,Toshiba,Trung Quốc,Thép không gỉ,"Khoá an toàn trẻ em | Công nghệ AI phân tích độ bẩn nước | Bảo quản giữ khô & ấm trong 168 giờ (7 ngày) | VoltGuard - hệ thống chống rò rỉ điện | Điều khiển từ xa thông qua ứng dụng TSmartLife | Động cơ Origin Inverter | Đèn LED báo hết muối, hết nước làm bóng | Hẹn giờ bắt đầu rửa | Đèn LED trong khoang máy | Khử mùi bằng gió tươi đối lưu | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Diệt khuẩn bằng nước nóng | Vòi phun 360 độ làm sạch đa hướng | Tự động căn chỉnh thời gian/lượng nước | Tăng tốc độ rửa | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load",84,59,60,48,1760W - 2100W,45 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2025,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Rửa bằng nước nóng,HyperDry - Sấy khí nóng (khô hiệu quả),Vệ sinh máy | Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa ngâm | Rửa hải sản | Rửa tự động AI | Rửa tiết kiệm ECO | Rửa trái cây | Rửa diệt khuẩn | Rửa 90 phút | Rửa nhanh,162,140,8 ~ 15 lít/lần rửa,Thép không gỉ,Khay dưới | Khay để muỗng đũa | Khay trên,20990000,13490000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | 1 đổi 1 trong vòng 180 ngày - Hoàn tiền trong 30 ngày (Lỗi do NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180005,1753859000010,336006,39,366,Junger,Thái Lan,Thép không gỉ được sơn tĩnh điện,"Khoá an toàn trẻ em | Khử trùng bằng tia UV - Junger UV Virus Killer Tech | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Cảm biến độ bẩn của nước - Junger Super AI Cleaning | Chống tràn và rò rỉ | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Hẹn giờ bắt đầu rửa | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Tự ngắt khi áp lực nước đầu vào yếu | Tự động căn chỉnh thời gian/lượng nước | Màn hình LED hiển thị dễ quan sát | Vòi phun 360 | Chức năng bảo vệ quá tải - quá áp | Khử mùi bằng gió tươi đối lưu Fresh Air | Chức năng sấy khô chuyên sâu | Tự kích hoạt lại chương trình khi có điện",60,55,50,27,1480W - 1760W,49 dB,3 - 4 bữa ăn Việt (12 - 13 bộ Châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng | Biểu tượng chương trình hoạt động,Tiệt trùng bằng tia UV - Junger UV Virus Killer Tech | Công nghệ rửa khử khuẩn 75°C,Sấy nóng Junger Super Dry Tech,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa tự động AI | Rửa tráng | Rửa tiết kiệm ECO | Rửa khử khuẩn | Tự làm sạch | Rửa nhanh,160,170,~ 9.3 lít/lần rửa,Inox 304 chống gỉ,"Khay dưới | Giỏ đựng dao, muỗng, đũa | Khay trên",,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179932,1753859000006,333218,39,9,Comfee,Trung Quốc,Thép không gỉ,"Khoá trẻ em | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Hẹn giờ bắt đầu rửa | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Diệt khuẩn bằng nước nóng | Vòi phun 360 độ làm sạch đa hướng | Màn hình LED hiển thị dễ quan sát | Tự kích hoạt lại chương trình khi có điện | Điều khiển từ xa thông qua ứng dụng SmartHome",59,55,50,27,1380W - 1620W,48 dB,3 - 4 bữa ăn Việt (10 bộ Châu Âu),2024,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Rửa bằng nước nóng,Extra Dry - Sấy tăng cường,Rửa đồ thủy tinh | Rửa tiêu chuẩn (tiết kiệm) | Tự vệ sinh | Rửa tăng cường | Rửa diệt khuẩn | Rửa 90 phút | Rửa nhanh,158,120,~ 8 lít/lần rửa,Thép không gỉ,Khay dưới | Khay để muỗng đũa | Giá đựng dao kéo,10290000,5990000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179793,1753859000002,325049,39,8,LG,Hàn Quốc,PCM,Hệ thống lưới lọc giúp lọc cặn thức ăn | Điều khiển bằng điện thoại qua ứng dụng LG ThinQ | Aquastop - chống tràn nước | Động cơ Direct Drive Inverter | Rửa kép | Rửa bán tải Half load | Khóa bảng điều khiển,84,60,60,51,1600W - 1800W,41 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Quadwash - làm sạch đa hướng | Vario Plus - linh hoạt khu vực rửa | Công nghệ TrueSteam rửa bằng nước nóng và hơi nước,Sấy hé tự động | Sấy ngưng tụ,Rửa chuyên sâu | Rửa nhẹ | Rửa tiêu chuẩn (tiết kiệm) | Chương trình tải xuống | Vệ sinh khoang rửa | Rửa tráng | Rửa tăng cường | Rửa tự động | Rửa nhanh | Làm mới,165,190,~ 9.6 lít/lần rửa,PCM,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,24540000,18490000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179792,1753859000001,325048,39,8,LG,Hàn Quốc,PCM,Chức năng vệ sinh máy | Điều khiển bằng điện thoại qua ứng dụng LG ThinQ | Aquastop - chống tràn nước | Động cơ Direct Drive Inverter | Rửa kép | Rửa bán tải Half load | Khóa bảng điều khiển,84,60,60,51,1600W - 1800W,41 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Quadwash - làm sạch đa hướng | Vario Plus - linh hoạt khu vực rửa | Công nghệ TrueSteam rửa bằng nước nóng và hơi nước,Sấy hé tự động | Sấy ngưng tụ,Rửa chuyên sâu | Rửa nhẹ | Rửa tiêu chuẩn (tiết kiệm) | Chương trình tải xuống | Vệ sinh khoang rửa | Rửa tráng | Rửa tăng cường | Rửa tự động | Rửa nhanh | Làm mới,165,190,~ 9.6 lít/lần rửa,PCM,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,29440000,20490000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179730,3053859000128,322213,39,2,Samsung,Trung Quốc,Thép sơn tĩnh điện STSS,"Khoá an toàn trẻ em | Khay rửa điều chỉnh độ cao linh hoạt cho từng loại chén đĩa | Tự động làm sạch máy Self Clean | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Chế độ làm sạch Hygiene Plus | Rửa bán tải Half load | Giá đỡ êm Ball Bearing Rail dễ dàng & an toàn",84,59,60,49,1760W - 2100W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2024,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,"Rửa nước nóng với 3 vòi phun ( trên, giữa, dưới)",Sấy nhiệt dư,"Rửa chuyên sâu | Tự động làm sạch máy | Rửa tiết kiệm ECO | Rửa sơ, tráng chén đĩa | Rửa đồ ít bẩn, dễ vỡ | Rửa tự động | Rửa nhanh",153,167,~ 10.5 lít/lần rửa,Thép sơn tĩnh điện STSS,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,18690000,10790000,"VIÊN RỬA CHÉN BÁT HƯƠNG CHANH FINISH | Nước làm bóng chén bát Finish 500ml | Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179693,3053859000122,320594,39,366,Junger,Thái Lan,Thép sơn tĩnh điện,"Khoá an toàn trẻ em | Khử trùng bằng tia UV - Junger UV Virus Killer Tech | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Cảm biến độ bẩn của nước - Junger Super AI Cleaning | Chống tràn và rò rỉ | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Hẹn giờ bắt đầu rửa | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Tự ngắt khi áp lực nước đầu vào yếu | Tự động căn chỉnh thời gian/lượng nước | Màn hình LED hiển thị dễ quan sát | Vòi phun 360 | Chức năng bảo vệ quá tải - quá áp | Khử mùi bằng gió tươi đối lưu Fresh Air | Chức năng sấy khô chuyên sâu | Tự kích hoạt lại chương trình khi có điện | Rửa bán tải Half load",78,60,59,45,1800W,49 dB,4 - 5 bữa ăn Việt (15 bộ Châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng | Biểu tượng chương trình hoạt động,Tiệt trùng bằng tia UV - Junger UV Virus Killer Tech | Công nghệ rửa khử khuẩn 75°C,Sấy nóng Junger Super Dry Tech,Rửa chuyên sâu | Rửa tự động AI | Rửa tiết kiệm ECO | Rửa khử khuẩn | Rửa hàng ngày | Rửa nhanh,152,153,~ 10.9 lít/lần rửa,Inox 304 phun sơn,"Khay trên có thể thay đổi chiều cao | Khay dưới | Giỏ đựng dao, muỗng, đũa",28690000,14990000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | 1 đổi 1 trong vòng 90 ngày (Lỗi NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
