model_code,sku,productidweb,category_code,brand,SIM,Thực hiện cuộc gọi,"Chuẩn chống nước, bụi",Dung lượng pin,Cổng sạc,Thời gian ra mắt,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Dài,Ngang,Dày,Khối lượng máy,Chip xử lý (CPU),Hệ điều hành,Kết nối,Chất liệu thân vỏ,Phụ kiện đi kèm,Wifi,Thẻ nhớ,Tốc độ CPU,RAM,Chip đồ họa (GPU),Bluetooth,"Cổng tai nghe, headphone",Tính năng đặc biệt,Ghi âm,Radio,Loại pin,Công nghệ pin,Hỗ trợ sạc tối đa,Dung lượng lưu trữ,Dung lượng khả dụng,Quay phim,Tính năng camera sau,Tính năng camera trước,Mạng di động,GPS,giá gốc,giá khuyến mãi,khuyến mãi quà
190166,2440931001278,363434,30,Ipad (Apple),eSIM,FaceTime,Không,36.59 Wh,Type-C,03/2026,Liquid Retina,"13""",,280,214,6,617,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,39090000,39090000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190166,2440931001277,363434,30,Ipad (Apple),eSIM,FaceTime,Không,36.59 Wh,Type-C,03/2026,Liquid Retina,"13""",,280,214,6,617,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,39090000,39090000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190166,2440931001276,363434,30,Ipad (Apple),eSIM,FaceTime,Không,36.59 Wh,Type-C,03/2026,Liquid Retina,"13""",,280,214,6,617,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,39090000,39090000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190166,2440931001275,363434,30,Ipad (Apple),eSIM,FaceTime,Không,36.59 Wh,Type-C,03/2026,Liquid Retina,"13""",,280,214,6,617,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,39090000,39090000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001255,363428,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,256 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,27990000,27690000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001257,363428,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,256 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,27990000,27690000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001258,363428,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,256 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,27990000,27690000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001256,363428,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,256 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,27990000,27690000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001264,363430,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,1 TB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,41990000,41990000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001263,363430,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,1 TB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,41990000,41990000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001265,363430,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,1 TB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,41990000,41990000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001266,363430,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,1 TB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,41990000,41990000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001262,363429,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,33590000,33590000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
190165,2440931001261,363429,30,Ipad (Apple),eSIM,FaceTime,Không,28.93 Wh,Type-C,03/2026,Liquid Retina,"11""",,247,178,6,465,null,iPadOS 26,Không,Nhôm nguyên khối,20 W,MIMO | Wi-Fi 7,Không,Hãng không công bố,12 GB,Apple GPU 9 nhân,v6.0,Type-C,Dolby Vision | Micro kép | Trung tâm màn hình | Mở khóa bằng vân tay Touch ID | Kết nối Apple Pencil Pro | Kết nối bàn phím rời | Âm thanh Dolby Atmos | DCI-P3 | HDR10+ | HDR10 | Công nghệ True Tone,Có,Không,Li-Po,Sạc pin nhanh,20 W,512 GB,Hãng không công bố,4K 2160p@30fps | FullHD 1080p@25fps | 4K 2160p@24fps | FullHD 1080p@120fps | HD 720p@30fps | 4K 2160p@60fps | FullHD 1080p@240fps | FullHD 1080p@30fps | FullHD 1080p@60fps | 4K 2160p@25fps,Tự động lấy nét | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Quay chậm (Slow Motion) | Gắn thẻ địa lý | Live Photos | Chống rung | Chụp ảnh hàng loạt | Smart HDR 4 | Chế độ điện ảnh,Chụp ảnh hàng loạt | Flash Retina | Chống rung | Quay video Full HD | Smart HDR 4 | Live Photos | Trôi nhanh thời gian (Time Lapse),Hỗ trợ 5G,iBeacon | GPS,33590000,33590000,"Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết | Phiếu mua hàng Phụ kiện, Đồng hồ trị giá 50,000đ | Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
